"id","winner","base_time","add_time","total_time","game_class","opening_class","opening_eco_mod","rating_dif","same_elo_band_flag","same_elo_step_flag","white_elo_band","white_castle_turn_limited","white_castle_before_five","white_castle_before_ten","white_castle_before_fifteen","white_checks_limited_count","white_checks_before_five","white_checks_before_ten","white_checks_before_fifteen","white_loss_before_five","white_loss_before_ten","white_loss_before_fifteen","black_elo_band","black_castle_turn_limited","black_castle_before_five","black_castle_before_ten","black_castle_before_fifteen","black_checks_before_five","black_checks_before_ten","black_checks_before_fifteen","black_checks_limited_count","black_loss_before_five","black_loss_before_ten","black_loss_before_fifteen","player_as_white_fav_opening_class","player_as_white_fav_opening_eco","player_white_total_games_count","player_black_total_games_count"
"mIICvQHh","white",5,10,15,1,2,220,-4,1,1,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,7,"C","C20",1,3
"kWKvrqYL","white",20,0,20,2,3,302,-15,1,1,2,7,0,1,1,3,0,0,1,0,1,2,2,7,0,1,1,0,0,0,0,0,0,2,"D","D02",2,2
"9tXo1AUZ","white",30,3,35,2,2,241,54,1,1,2,12,0,0,1,0,0,0,0,0,1,3,2,8,0,1,1,0,0,0,0,0,1,3,"C","C41",2,2
"qwU9rasv","white",10,0,10,1,3,300,97,1,1,2,8,0,1,1,1,0,0,1,2,5,5,2,0,0,0,0,0,1,1,2,1,2,4,"D","D00",1,8
"dwF3DJHO","black",15,0,15,2,2,250,47,0,1,2,13,0,0,1,0,0,0,0,1,2,2,1,7,0,1,1,1,1,1,1,1,2,2,"C","C50",1,8
"afoMwnLg","white",10,0,10,1,1,101,172,1,1,1,0,0,0,0,1,0,0,1,1,3,5,1,0,0,0,0,1,1,1,2,1,2,4,"C","C00",8,3
"HgKLWPsz","white",20,60,59,2,0,0,109,1,1,1,9,0,1,1,0,0,0,0,0,1,2,1,11,0,0,1,0,0,0,0,0,1,2,"C","C00",8,1
"Vf5fKWzI","black",20,60,58,2,2,202,-486,0,0,1,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,0,1,2,0,1,3,"C","C00",8,1
"HRti5mKv","black",5,40,45,1,2,200,-555,0,0,1,9,0,1,1,1,1,1,1,1,2,2,4,6,0,1,1,0,0,0,0,1,1,1,"C","C00",8,27
"guanvMR5","black",15,15,26,2,2,257,47,1,1,0,5,1,1,1,0,0,0,0,1,1,2,0,10,0,1,1,0,0,0,0,0,1,2,"C","C50",6,40
