"white_id","as_white_games_count","as_white_wins","as_white_loss","as_white_draw","as_white_fav_opening_class","as_white_fav_opening_eco","as_black_games_count","as_black_wins","as_black_loss","as_black_draw","total_games_count","total_wins","total_loss","total_draw","as_white_winrate","as_black_winrate","total_winrate","last_elo","last_elo_band"
"bourgris",1,1,0,0,"D","D10",0,0,0,0,1,1,0,0,1,0,1,1500,"silver"
"a-00",1,0,1,0,"B","B00",2,0,2,0,3,0,3,0,0,0,0,1191,"wood"
"ischia",1,1,0,0,"C","C20",0,0,0,0,1,1,0,0,1,0,1,1496,"silver"
"daniamurashov",2,2,0,0,"D","D02",0,0,0,0,2,2,0,0,1,0,1,1439,"silver"
"nik221107",2,1,1,0,"C","C41",0,0,0,0,2,1,1,0,0.5,0,0.5,1526,"silver"
"trelynn17",2,0,1,1,"B","B27",0,0,0,0,2,0,1,1,0,0,0,1250,"bronze"
"capa_jr",1,1,0,0,"D","D00",0,0,0,0,1,1,0,0,1,0,1,1520,"silver"
"daniel_likes_chess",6,2,4,0,"C","C00",2,1,1,0,8,3,5,0,0.33333333,0.5,0.375,1423,"silver"
"ehabfanri",1,0,1,0,"C","C50",0,0,0,0,1,0,1,0,0,0,0,1439,"silver"
"shivangithegenius",15,4,11,0,"C","C50",25,7,17,1,40,11,28,1,0.26666667,0.28,0.275,1094,"wood"
"sureka_akshat",3,0,2,1,"C","C50",3,1,2,0,6,1,4,1,0,0.33333333,0.16666667,1141,"wood"
"g-ios",1,1,0,0,"D","D00",0,0,0,0,1,1,0,0,1,0,1,1500,"silver"
"storm28rus",2,1,1,0,"B","B20",0,0,0,0,2,1,1,0,0.5,0,0.5,1500,"silver"
"robotsmoke",2,1,1,0,"A","A25",1,1,0,0,3,2,1,0,0.5,1,0.66666667,1257,"bronze"
"gmcarlsen403",1,1,0,0,"C","C45",0,0,0,0,1,1,0,0,1,0,1,1825,"platinum"
"mannat1",1,0,1,0,"D","D01",0,0,0,0,1,0,1,0,0,0,0,1328,"bronze"
"biyanivedant01",1,0,1,0,"B","B21",1,1,0,0,2,1,1,0,0,1,0.5,1358,"bronze"
"rv0209",1,0,1,0,"B","B52",0,0,0,0,1,0,1,0,0,0,0,1200,"wood"
"vihaandumir",1,1,0,0,"B","B27",0,0,0,0,1,1,0,0,1,0,1,1203,"bronze"
