"id","winner","rated","victory_status_class","base_time","add_time","total_time","white_rating","black_rating","rating_dif_abs","rating_dif_class","opening_class","opening_eco_mod","opening_ply"
"TZJHLljE","white",0,0,15,2,15,1500,1191,309,1,3,310,5
"l1NXvwaE","black",1,0,5,10,8,1322,1261,61,1,1,100,4
"mIICvQHh","white",1,1,5,10,15,1496,1500,4,0,2,220,3
"kWKvrqYL","white",1,1,20,0,20,1439,1454,15,-1,3,302,3
"9tXo1AUZ","white",1,1,30,3,35,1523,1469,54,1,2,241,5
"qwU9rasv","white",1,0,10,0,10,1520,1423,97,1,3,300,10
"RVN0N3VK","black",0,0,15,30,20,1413,2108,695,-1,1,100,5
"dwF3DJHO","black",1,0,15,0,15,1439,1392,47,1,2,250,6
"afoMwnLg","white",1,1,10,0,10,1381,1209,172,1,1,101,4
"HgKLWPsz","white",0,1,20,60,59,1381,1272,109,1,0,0,1
"Vf5fKWzI","black",0,0,20,60,58,1381,1867,486,-1,2,202,9
"HRti5mKv","black",0,0,5,40,45,1381,1936,555,-1,2,200,3
"2fEjSei6","black",0,0,8,0,8,1381,1607,226,-1,2,200,2
"u7i6dOaJ","white",0,1,15,15,23,1094,1141,47,-1,2,250,8
"guanvMR5","black",0,0,15,15,26,1141,1094,47,1,2,257,7
"PmpkWkmm","black",0,0,15,15,28,1094,1141,47,-1,2,250,8
"EwaK0IsE","black",0,1,15,16,33,1141,1094,47,1,2,250,8
"yrSDozT3","black",0,0,15,15,40,1094,1300,206,-1,2,241,5
"x31mXlvc","white",0,0,11,0,11,1500,1094,406,1,3,300,2
"oQklnWWp","black",0,0,15,15,18,1094,1676,582,-1,2,255,6
"QFCZwY1f","white",0,0,30,60,33,1094,1068,26,1,0,40,2
"5cgBygpI","white",0,0,15,5,16,1500,1094,406,1,1,120,3
"UhXXBOMY","white",1,0,10,0,10,1307,1106,201,1,0,25,4
"mCij4hBq","black",1,0,10,0,10,1113,1423,310,-1,1,121,3
"ifUMWtVj","white",1,1,10,10,22,1078,1219,141,-1,3,301,4
"Wf0zuLQQ","white",1,0,10,10,17,1825,1079,746,1,2,245,8
"srz9QfSN","black",1,1,10,10,19,1328,1038,290,1,3,301,4
